Code Value,Language,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
emg,Eastern Meohang,Severely Endangered ,904,South Asia,27.5441,87.1401
azz,Eastern Nahua,At risk ,125000,"Mexico, Central America, Caribbean",19.5833333333,-97.3333333333
ojg,Eastern Ojibwe,Threatened ,1500,North America,46.0,-80.0
pez,Eastern Penan,Threatened ,10000,Southeast Asia,4.59, 114.58
peb,Eastern Pomo,Dormant ,0,North America,39.0,-122.666666667
ydd,Eastern Yiddish,At risk ,1200000,North America;Europe;Near East,55.0,25.0
ebg,Ebughu,Threatened ,5000,Africa,4.754658, 8.276181
ecs,Ecuadorian Sign Language,At risk ,231000,South America,-0.144957, -78.496198
qt8,Eel River Athabaskan,Dormant ,0,North America,,
afu-efu,Effutu,Threatened ,20000,Africa,5.346992, -0.627230
ega,Ega,Severely Endangered ,1000,Africa,5.5,-5.5
eit,Eitiep,Endangered ,394,Pacific,-3.520083904,142.5982513
eja,Ejamat,Vulnerable ,25000,Africa,,
eke,Ekit,Vulnerable ,,Africa,4.770001, 7.859140
elh,El Hugeirat,Severely Endangered ,50,Africa,12.3131,28.4243
elo,El Molo,Dormant ,,Africa,2.826751, 36.696701
ele,Elepi,Endangered ,149,Pacific,-3.75, 143.93
elk,Elkei,Threatened ,1640,Pacific,-3.5, 142.1
mrf,Elseng,Endangered ,300,Southeast Asia,-3.00, 140.42
elu,Elu,Endangered ,220,Pacific,-2.00, 147.10
mmw,Emae,Endangered ,400,Pacific,-17.0567,168.3956
emn,Eman,Endangered ,800,Africa,6.0531,9.7338
cto,Emberá-Catío,Vulnerable ,88747,"South America;Mexico, Central America, Caribbean",7.16666666667,-76.3333333333
eme,Emerillon,Endangered ,400,South America,3.16666666667,-52.4166666667
"zmr, amy",Emmi,Critically Endangered ,15,Australia,-13.54,130.037
emw,Emplawas,Endangered ,250,Southeast Asia,-8.0374,129.7375
enr,Emumu,Threatened ,,Southeast Asia,-3.74, 140.90
enc,En,Endangered ,200,Southeast Asia;East Asia,22.838831,106.168025
unk,Enawené-Nawé,Endangered ,445,South America,-12.5223,-59.7656
tmf,Enenlhet,Threatened ,1275,South America,-21.5578,-58.0064
eno,Enggano,Threatened ,1000,Southeast Asia,-5.41666666667,102.25
enl,Enlhet,Threatened ,6439,South America,-22.5,-59.0
enw,Enwan,Vulnerable ,15000,Africa,4.652842, 8.251014
enx,Enxet,Threatened ,3842,South America,-22.5,-59.0
1j0,Eora,Awakening ,,Australia,-33.899572, 151.206704
sja,Epena,Vulnerable ,88800,"South America;Mexico, Central America, Caribbean",3.0,-77.0
erw,Erokwanas,Endangered ,250,Southeast Asia,-2.8113,132.6708
err,Erre,Critically Endangered ,1,Australia,-12.580519,133.06175
ers,Ersu,Threatened ,,East Asia,28.966069, 102.771749
erh,Eruwa,Vulnerable ,64000,Africa,5.155231, 6.034824
myv,Erzya,Threatened ,,Caucasus;Europe;East Asia,53.0,45.5
ese,Ese'jja,Endangered ,518,South America,-11.0,-66.0
esh,Eshtehardi,,Noestimateavailable,Near East,38.2036,48.2519
eso,Estonian Sign Language,Threatened ,4500,Europe,58.95, 24.57
etb,Etebi,Vulnerable ,15000,Africa,4.643891, 7.970430
zpy,Etla,Threatened ,1276,"Mexico, Central America, Caribbean",17.15, -96.88
etn,Eton,Endangered ,500,Pacific,-17.753446,168.559429
bzz,Evant,Vulnerable ,11000,Africa,,
eve,Even,Severely Endangered ,,Caucasus;Europe;East Asia,68.0,130.0
evn,Evenki,Endangered ,,Caucasus;Europe;East Asia,48.0,120.0
coo,Éy7á7juuthem (Comox),Critically Endangered ,36,North America,50.3900000, -124.6400000
eya,Eyak,Awakening ,,North America,60.526294,-145.6351157
wti-fad,Fadashi,Threatened ,8715,Africa,,
faf,Fagani,Endangered ,900,Pacific,-10.4337,161.5979
azt,Faire Atta,Endangered ,400,Southeast Asia,18.027,120.4929
fai,Faiwol,Threatened ,4500,Pacific,-5.50, 141.66
cfm,Falam Chin,Vulnerable ,107300,South Asia;Southeast Asia,23.79, 92.33
fah,Fali of Baissa,Critically Endangered ,Afew,Africa,7.228442, 10.623221
fam,Fam,Endangered ,500,Africa,7.819704, 11.055915
fak,Fang,Threatened ,4000,Africa,,
fni,Fania,Threatened ,1100,Africa,10.0581,18.3993
,Farnanto,Severely Endangered ,100,Pacific,-15.370092,166.966450
nrg,Farsaf,Endangered ,160,Pacific,-15.540011,167.059861
,Farvi,Endangered ,,Near East,33.47, 55.05
fqs,Fas,Threatened ,5000,Pacific,-3.197, 141.373
faa,Fasu,Threatened ,1200,Pacific,-6.63, 143.28
fau,Fayu,Threatened ,400,Southeast Asia,-3.1, 136.8
agl,Fembe,Endangered ,350,Pacific,-5.72, 142.25
qb8,Figuig,Threatened ,14280,Africa,,
fse,Finnish Sign Language,Threatened ,5000,Europe,60.66, 25.07
fss,Finnish-Swedish Sign Language,Endangered ,150,Europe,62.111," 26.328
"
fir,Firan,Vulnerable ,,Africa,,
vgt,Flemish Sign Language,Threatened ,6000,Europe,50.80, 4.31
fln,Flinders Island,Critically Endangered ,3,Australia,-14.17091978,144.2456751
flh,Foau,Endangered ,230,Southeast Asia,-3.05, 139.21
fgr,Fongoro,Critically Endangered ,afew,Africa,11.1029,22.7197
enf,Forest Enets,Severely Endangered ,,Caucasus;Europe;East Asia,67.5,86.5
yrk-for,Forest Nenets,Endangered ,,Caucasus;Europe;East Asia,64.9188, 77.7941
yux,Forest Yukagir,Critically Endangered ,50,Caucasus;Europe;East Asia,65.75,150.833333333
frp,Francoprovençal,Endangered ,130000,Europe,45.7828,6.9982
fur,Friulian,Vulnerable ,350000,Europe,46.1037,13.1396
bfm-fun,Fungom,Threatened ,1000,Africa,,
pym,Fyem,Endangered ,14000,Africa,9.58333333333,9.33333333333
ttb,Gaa,Threatened ,10000,Africa,8.670419, 12.033137
gdk,Gadang,Threatened ,2500,Africa,10.3473,17.2485
gbk,Gaddi,At risk ,120000,South Asia,32.4912,76.8383
gag,Gagauz,Vulnerable ,,Europe,46.3333333333,28.6666666667
gbu,Gagudju,Dormant ,0,Australia,-12.514603,132.647017
bfu,Gahri,Threatened ,3500,South Asia,32.5,77.0
gbf,Gaikundi,Endangered ,,Pacific,-4.02, 143.14
gdh,Gajirrabeng,Critically Endangered ,3,Australia,-14.99,128.85
fra-gal,Gallo,Threatened ,200000,Europe,47.931, -2.0544
sdn,Gallurese Sardinian,At risk ,100000,Europe,40.8802,9.4482
adl,Galo,Vulnerable ,30000,South Asia,28.1688,94.7433
gal,Galoli,Vulnerable ,13000,Pacific,,
siu,Galu,Endangered ,208,Pacific,-3.42, 142.37
kgj,Gamale Kham,Vulnerable ,30000,South Asia,28.4321,82.9635
gma,Gamberre,Critically Endangered ,6,Australia,-14.294386,126.711653
kld,Gamilaraay,Critically Endangered ,,Australia,-29.85302243, 147.9291115
gnq,Gana,Endangered ,1000,Southeast Asia,5.435442,116.178317
gcd,Ganggalida,Critically Endangered ,1,Australia,-17.019031,138.229847
gnb,Gangte,Vulnerable ,15100,South Asia;Southeast Asia,24.1968,93.587
kcx-gan,Ganjulé,Severely Endangered ,50,Africa,,
peh,Gansu Bonan,Threatened ,10000,East Asia,35.806111, 102.772778
gza,Ganza,Threatened ,5400,Africa,10.274808,35.136644
gnz,Ganzi,Threatened ,1400,Africa,,
gga,Gao,Threatened ,,Pacific,-8.3514,159.8167
gqu,Gao Gelao,Severely Endangered ,6000includingspeakersofalltheGelaolanguages,East Asia,26.254, 105.947
1h9,Gardiol,Severely Endangered ,300,Europe,39.466667,16
gbm,Garhwali,Vulnerable ,2920000,South Asia,30.0976,79.1235
cab,Garífuna,At risk ,,"Mexico, Central America, Caribbean",12.5666,-83.7166
ilg-gar,Garig,Critically Endangered ,4,Australia,,
gll,Garlali,Dormant ,0,Australia,-28.13620987,143.9394536
,Garma'i,Severely Endangered ,10,Near East,,
grt,Garo,Vulnerable ,700000,South Asia,25.6666666667,90.5
gex,Garre,Vulnerable ,57500,Africa,2.226453,44.650469
wrk,Garrwa,Severely Endangered ,59,Australia,-16.070005, 136.309758
oci-gsc,Gascon,At risk ,250000,Europe,43.1811, -0.1428
kcx,Gats'amé,Threatened ,,Africa,5.9548,37.5292
gvo,Gavião,Endangered ,523,South America,-10.6666666667,-62.0
gvp,Gavião de Parã,Endangered ,476,South America,-5.3316,-46.7138
gwt,Gawar-Bati,Vulnerable ,8000,South Asia;Near East,35.310503, 71.550815
0h5,Gayiri,Dormant ,0,Australia,-23.9039922,148.0814757
gzi,Gazi,Threatened ,7030,Near East,32.8036,51.6211
gbg,Gbanziri,Vulnerable ,17500,Africa,,
krs,Gbaya,Vulnerable ,,Africa,8.5,24.5
gyg,Gbayi,Threatened ,,Africa,,
ggb,Gbii,Threatened ,5600,Africa,,
gei,Gebe,Threatened ,2650,Southeast Asia,-.1922,129.5397
gji,Geji,Threatened ,1000,Africa,10.291667, 9.65
geq,Geme,Endangered ,550,Africa,8.4941,20.6378
gea,Geruma,Threatened ,4700,Africa,10.206, 9.27
gev,Geviya,Severely Endangered ,400,Africa,,
gha,Ghadamès,Threatened ,4000,Africa,30.1166,9.5251
gdo,Ghodoberi,Endangered ,2500,Caucasus;Europe;East Asia,42.6666666667,46.0833333333
gho,Ghomara,Threatened ,,Africa,35.076581, -4.892731
gib,Gibanawa,,Asapidginthislanguagehasnonativespeakers,Africa,12.22, 4.38
dbl-gir,Girramay,Severely Endangered ,10,Australia,,
gih,Githabul,Awakening ,,Australia,-28.69783052,151.9693704
git,Gitsenimx̱,Severely Endangered ,350,North America,55.5300000, -128.0100000
giy,Giyug,Critically Endangered ,2,Australia,,
tof,Gizrra,Threatened ,1050,Pacific,,
gnu,Gnau,Endangered ,980,Pacific,-3.59, 142.20
lja,Golpa,Severely Endangered ,,Australia,-12.03482157,135.565923
goe,Gongduk,Threatened ,,South Asia,27.086,91.2002
gni,Gooniyandi,Severely Endangered ,,Australia,-18.26153435,126.2884882
goq,Gorap,Endangered ,1000,Southeast Asia,2.1528,128.2516
xgg,Goreng,Awakening ,,Australia,-33.79639425,119.0122558
grq,Gorovu,Critically Endangered ,20,Pacific,-4.53, 144.59
pcj,Gorum,Endangered ,750,South Asia,18.667,83.0346
goy,Goundo,Critically Endangered ,20,Africa,9.4761,16.2652
gwf,Gowro,Threatened ,1000,South Asia,35.0254,72.9341
goz,Gozarkhani,,Noestimateavailable,Near East,38.2036, 48.2519
nli,Grangali,Threatened ,5000,Near East,35.2355,71.51
kbk,Grass Koiari,Threatened ,1700,Pacific,-9.5,147.333333333
giq,Green Gelao,Severely Endangered ,6000includingspeakersofalltheGelaolanguages,Southeast Asia;East Asia,26.070, 105.777
ats,Gros Ventre,Awakening ,,North America,48.4824,-108.7639
gaq,Gta',Threatened ,Approximately3000,South Asia,18.2293,82.727
gvj,Guajá,Endangered ,283,South America,-3.4914,-46.2963
gub,Guajajára,Vulnerable ,14000,South America,-5.0,-46.0
guh,Guajibo,Vulnerable ,35006,South America,6.25,-71.5
guc,Guajiro,Vulnerable ,,South America,12.0,-72.0
mbp,Guamaca,Threatened ,1922,South America,11.0,-73.5
gum,Guambiano,Vulnerable ,23462,South America,2.5,-76.6666666667
gqn,Guana (Brazil),Dormant ,Ø1,South America,-21.0685,-56.2765
gva,Guana (Paraguay),Critically Endangered ,19,South America,-22.0,-58.0
gyr,Guarayu,Threatened ,8433,South America,-15.919,-62.8747
gae,Guarequena,Endangered ,180,South America,1.5,-67.5
var,Guarijío,Threatened ,2136,"Mexico, Central America, Caribbean",27.87, -108.44
gsm,Guatemalan Sign Language,Threatened ,28000,"Mexico, Central America, Caribbean",14.50, -90.57
gta,Guató,Critically Endangered ,5,South America,-17.0,-58.0
gut,Guatuso,Endangered ,276,"Mexico, Central America, Caribbean",10.75, -84.73
guo,Guayabero,Threatened ,1118,South America,2.83333333333,-72.0
gym,Guaymí,At risk ,147623,"Mexico, Central America, Caribbean",8.66666666667,-82.0
qda,Guazacapán Xinka,Dormant ,0,"Mexico, Central America, Caribbean",14.057656,-90.497983
gbw,Gubbi Gubbi,Dormant ,0Therearestillsomepartialspeakers,Australia,,
wrg,Gudjal,Awakening ,,Australia,-19.44157406,144.6482584
fra-dge,Guernésiais,Endangered ,200,Europe,49.433333,-2.583333
amu,Guerrero Amuzgo,Vulnerable ,,"Mexico, Central America, Caribbean",16.8333333333,-98.0
"mim, mxv, xta, xty",Guerrero Mixtec,Vulnerable ,97200,"Mexico, Central America, Caribbean",17.39, -98.42
gdc,Gugu-Badhun,Critically Endangered ,2,Australia,-18.96002008,143.2350126
wrw,Gugu-Warra,Dormant ,0,Australia,-15.6137893, 143.7753848
gqi,Guiqiong,Endangered ,9677,East Asia,30.8148,101.7021
kgs,Gumbaynggir,Severely Endangered ,40,Australia,-29.99947323,152.7216997
gdi,Gundi,Threatened ,9000,Africa,4, 16
xrd,Gundungurra,Awakening ,,Australia,-34.76946368,149.6767454
gyf,Gungabula,Critically Endangered ,2,Australia,-25.88011934,148.6271626
kgl,Gunggari,Severely Endangered ,,Australia,-26.71355116,146.4458743
gww,Gunin,Severely Endangered ,50,Australia,-14.588,127.534
pue,Gününa-Küne,Dormant ,0,South America,-41.0,-67.0
gyy,Gunya,Critically Endangered ,3,Australia,-27.64957662,145.9658542
grz,Guramalum,Dormant ,0,Pacific,-4.27, 152.93
hac,Gurani,Vulnerable ,100000,Near East,35.042153, 46.359129
gnr,Gureng Gureng,Critically Endangered ,1,Australia,-25.92169536,151.3260412
grx,Guriaso,Endangered ,421,Pacific,-3.57, 141.60
gue,Gurindji,Endangered ,175,Australia,-17.69568213,130.0045992
gvm,Gurmana,Threatened ,3000,Africa,10.075,6.8499
gge,Gurr-goni,Critically Endangered ,20,Australia,-12.30942987,134.3135284
grd,Guruntum,Vulnerable ,,Africa,9.900878, 9.765803
gsl,Gusilay,Vulnerable ,10000,Africa,,
gbj,Gutob,Endangered ,8000,South Asia,19.0,83.6666666667
kky,Guugu-Yimidhirr,Severely Endangered ,20,Australia,-15.16061049,144.9904848
say-sig,Guus,Threatened ,7000,Africa,,
xgw,Guwa,Dormant ,0,Australia,-21.35147706,142.5243782
gwu,Guwamu,Critically Endangered ,1,Australia,-28.02423918,147.6605303
gka,Guya,Endangered ,130,Pacific,-5.704599857,146.4853973
bga,Gwamhi-Wuri,Vulnerable ,16000,Africa,8.7113,2.1533
grw,Gweda,Severely Endangered ,26,Pacific,-10.2284,150.4083
gwe,Gweno,Threatened ,Afewthousand,Africa,-3.7135,37.6501
gwi,Gwich'in,Severely Endangered ,550,North America,67.4407,-134.8272
gyo,Gyalsumdo,Threatened ,300,South Asia,22.59, 84.22
gyi,Gyele,Endangered ,2200,Africa,2.2241,9.8986
gye,Gyem,Endangered ,100,Africa,10.3865,9.3122
hbu,Habu,Threatened ,2700,Pacific,-8.7819,126.0021
,Hachijo,Endangered ,8000,East Asia,33.063, 139.472
hts,Hadza,Threatened ,950,Africa,-3.612107, 35.315552
aek,Haeke,Severely Endangered ,100,Pacific,-20.9665,164.7866
hah,Hahon,Vulnerable ,,Pacific,-5.342585, 154.559549
haf,Hai Phong Sign Language,Endangered ,,Southeast Asia,,
hei,Hailhzaqvla (Heiltsuk),Critically Endangered ,60,North America,52.1200000, -127.8000000
cnh,Hakha Chin,Threatened ,,South Asia;Southeast Asia,22.6667,93.6667
hur,Halq'eméylem (Halkomelem),Endangered ,265,North America,49.1900000, -123.0000000
amf,Hamer-Bana-Kara,Vulnerable ,42800,Africa,,
haa,Han,Critically Endangered ,9,North America,64.7837,-141.2172
hag,Hanga,Threatened ,6800,Africa,,
csz,Hanis,Dormant ,0,North America,43.5,-124.166666667
hab,Hanoi Sign Language,Endangered ,39000,Southeast Asia,21.033,105.849
"hug, amr",Harakmbut,Threatened ,1206,South America,-12.5,-70.5
scs-har,Hare,Severely Endangered ,75,North America,64.438892,-124.498425
hss,Ḥarsusi,Endangered ,,Near East,20.0,56.5
tmd,Haruai,Endangered ,100,Pacific,-5.10, 144.34
hrz,Harzani,Vulnerable ,28100,Near East,38.2036,48.2519
ybj,Hasha,Endangered ,,Africa,8.907119, 8.406086
had,Hatam,Vulnerable ,16000,Southeast Asia,-0.954, 133.997
hsl,Hausa Sign Language,,,Africa,12.006960, 8.537304
hvk,Haveke,Endangered ,300,Pacific,-20.9665,164.7866
hps,Hawai'i Sign Language,Critically Endangered ,30,North America,21.63, -158.00
haw,Hawaiian,Severely Endangered ,,North America,21.894103, -160.161856
hvn,Hawu,At risk ,100000,Southeast Asia,,
scp,Helambu Sherpa,Threatened ,9842,South Asia,27.92, 85.63
heg,Helong,Vulnerable ,14000,Southeast Asia,-10.1905,123.5247
her,Herero,Vulnerable ,,Africa,-21.02, 20.57
ham,Hewa,Threatened ,2000,Pacific,-5.04, 142.55
auk,Heyo,Threatened ,1824,Pacific,-3.83, 142.47
hid,Hidatsa,Critically Endangered ,,North America,47.7321,-102.6758
chd,Highland Chontal,Threatened ,3413,"Mexico, Central America, Caribbean",16.25,-95.75
"qvj, qud; qxr, qug, qvi, qvz, qxj, quw, qvo",Highland Ecuadorian Quichua,Vulnerable ,1153800,South America,,
hij,Hijuk,Endangered ,400,Africa,4.2861,10.4919
,Hill Miri,Threatened ,,South Asia,26.9612, 94.0539
hir,Himarimã,,Nooneknows,South America,-6.25, -64.70
dhm,Himba,Vulnerable ,3000035000,Africa,-18.056570, 13.840657
hii,Hinduri,Endangered ,138,South Asia,31.0011,77.3107
gin,Hinukh,Endangered ,200,Caucasus;Europe;East Asia,42.1666666667,46.0
hiw,Hiw,Endangered ,120,Pacific,-13.1343,166.5671
hix,Hixkaryana,Endangered ,600,South America,-1.0,-59.0
hle,Hlersu,Vulnerable ,,East Asia,23.38, 101.16
hmr,Hmar,Vulnerable ,83404,South Asia,24.1666666667,93.0
mrk,Hmwaveke,Endangered ,300,Pacific,-20.9665,164.7866
hos,Ho Chi Minh City Sign Language,Endangered ,,Southeast Asia,10.79, 106.68
hoa,Hoava,Threatened ,,Pacific,-8.08333333333,157.5
hoh,Hobyot,Endangered ,400,Near East,16.6388,53.0612
hoi,Holikachuk,Dormant ,0,North America,64.2254,-155.3027
hoo,Holoholo,Vulnerable ,,Africa,-20.537649,27.006712
1ev,Homshetsi,Vulnerable ,relativelylargenumbers,Europe;Caucasus;East Asia,,
len,Honduran Lenca,Dormant ,0,"Mexico, Central America, Caribbean",13.6459,-87.0996
hds,Honduras Sign Language,Threatened ,,"Mexico, Central America, Caribbean",,
juh,Hõne,Severely Endangered ,,Africa,,
hks,Hong Kong Sign Language,Threatened ,9000,East Asia,,
hop,Hopi,Threatened ,5000,North America,35.8721,-110.6205
hoe,Horom,Vulnerable ,1500,Africa,9.486, 9.14
ero,Horpa,Vulnerable ,45000,East Asia,31.091339,101.748892
hti,Hoti,Critically Endangered ,10,Southeast Asia,-3.0143,130.3692
hoz,Hozo,Threatened ,3000,Africa,9.3352,34.53
hpo,Hpon,Dormant ,0,Southeast Asia,24.65,97.0666
hru,Hruso,Threatened ,3000,South Asia,27.1666, 92.6312
huo,Hu,Endangered ,,East Asia,22.1743,100.9264
qub,Huallaga Quechua,Vulnerable ,40000,South America,-10.2, -75.8
hub,Huambisa,Threatened ,8000,South America,-4.0,-78.0
"hsf, hus, hva",Huastec,Threatened ,1700,,,
"hve, hue, huv, hvv",Huave,Vulnerable ,10000,"Mexico, Central America, Caribbean",16.192003, -94.450428
qwh,Huaylas Quechua,Vulnerable ,336000,South America,-9.520440, -77.568526
tee,Huehuetla Tepehua,Threatened ,3000,"Mexico, Central America, Caribbean",20.5,-98.0
hch,Huichol,Vulnerable ,35724,"Mexico, Central America, Caribbean",21.95, -104.06
huh,Huilliche,Severely Endangered ,Onlyafewelderlyspeakers,South America,-40.4803,-73.5424
huw,Hukumina,Critically Endangered ,1,Southeast Asia,-3.1514,126.2713
huy,Hulaulá,Threatened ,,Near East,34.1703, 46.1432
huk,Hulung,Critically Endangered ,10,Southeast Asia,-2.8614,128.5606
hnu,Hung,Endangered ,500,Southeast Asia,18.3333,105
nat,Hungworo,Threatened ,,Africa,10.187268, 6.253431
huz,Hunzib,Endangered ,600,Caucasus;Europe;East Asia,42.1666666667,46.25
hup,Hupa,Critically Endangered ,1,North America,41.0982, -123.68
jup,Hupda,Threatened ,1500,South America,0.166666666667,-69.25
mjg-huz,Huzhu,Endangered ,50000,East Asia,36.7608,102.4255
ahg-hwa,Hwarasa,Critically Endangered ,afew,Africa,,
lig-hwe,Hwela,Threatened ,1500,Africa,,
ksi,I'saka,Severely Endangered ,347,Pacific,-2.80, 141.30
ian,Iatmul,Threatened ,46000,Pacific,-4.30, 143.32
iby,Ibani,Vulnerable ,60000,Africa,,
ibn,Ibino,Threatened ,10000,Africa,4.60, 8.15
ibu,Ibu,Severely Endangered ,35,Southeast Asia,1.5269,127.5265
ibr,Ibuoro,Threatened ,10000,Africa,5.50, 7.93
arh,Ica,Vulnerable ,14799,South America,10.6666666667,-73.75
idc,Idon,Threatened ,5000,Africa,,
clk,Idu-Mishmi,Vulnerable ,11080,South Asia;East Asia,29.3333333333,95.8333333333
tyh,Iduh,Severely Endangered ,,Southeast Asia,19.435231,104.4286
igg,Igana,Endangered ,114,Pacific,-4.716300011, 144.7819061
ign,Ignaciano,Threatened ,1080,South America,-15.1666666667,-65.4166666667
ahl,Igo,Threatened ,6000,Africa,7.2,0.7
ihb,Iha Based Pidgin,,Asapidginthislanguagehasnonativespeakers,Southeast Asia,-2.94, 132.29
ikx,Ik,Vulnerable ,,Africa,3.75,34.1666666667
ikr,Ikaranggal,Dormant ,NoknownL1speakers,Australia,-14.620126, 143.932745
ikz,Ikizu,At risk ,132000,Africa,,
ntk,Ikoma,Vulnerable ,36000,Africa,,
ibe-iko,Ikorom,Threatened ,5000,Africa,7.06, 5.09
txi,Ikpéng,Endangered ,342,South America,-11.7376,-53.616
ilg,Ilgar,Critically Endangered ,5,Australia,-11.393997,132.116928
ili,Ili Turki,Critically Endangered ,,East Asia,44.0244,81.145
ilv,Ilue,Threatened ,5000,Africa,4.9185,8.2397
imn,Imonda,Endangered ,274,Pacific,-3.33, 141.17
mzu,Inapang,Threatened ,1290,Pacific,-4.68, 144.90
inp,Iñapari,Critically Endangered ,4,South America,-12.0822,-69.7412
smn,Inari Saami,Endangered ,,Europe,68.8446,27.2817
idr,Indri,Severely Endangered ,,Africa,8.4397,25.5926
"inb, inj",Inga,Threatened ,8000,South America,1.0, -77.0
ing,Ingalik,Severely Endangered ,14,North America,62.1655,-156.3134
izh,Ingrian,Severely Endangered ,,Caucasus;Europe;East Asia,59.716667,28.466667
aij,Inter-Zab Jewish Neo-Aramaic,Severely Endangered ,,Near East,36.1128, 44.033
iks,Inuit Sign Language,Severely Endangered ,40,North America,62.8, -92.083
ike,Inuktitut,Vulnerable ,,North America,58.102769,-68.461464
ipk,Inupiaq,Severely Endangered ,26644,North America,68.3217, -133.532
ipo,Ipiko,Endangered ,200,Pacific,-7.435678005,144.8769073
iqu,Iquito,Critically Endangered ,15,South America,-3.25,-74.0
irn,Irantxe,Severely Endangered ,,South America,-13.0,-58.0
iry,Iraya,Vulnerable ,10000,Southeast Asia,,
ire,Iresim,Severely Endangered ,70,Southeast Asia,-3.6011,135.1428
gle,Irish,Endangered ,20000,Europe,52.5,-9.0
iru,Irula,Threatened ,5000,South Asia,11.4369,76.5032
isn,Isanzu,Vulnerable ,32400,Africa,,
agk,Isarog Agta,Critically Endangered ,6,Southeast Asia,13.6805,123.3805
isc,Isconahua,Critically Endangered ,5,South America,-7.760233, -74.515153
isk,Ishkashimi,Threatened ,2500,Near East,36.4248, 71.3344
inn,Isinay,Critically Endangered ,,Southeast Asia,16.3, 121.1
srl,Isirawa,Threatened ,1800,Southeast Asia,-1.83333333333,138.5
1kq,Isolado do Tanaru,Critically Endangered ,1,South America,,
zai,Isthmus Zapotec,Vulnerable ,80000,"Mexico, Central America, Caribbean",16.416667,-95.0
ist,Istriot,Severely Endangered ,,Europe,45.0541,13.7246
ruo,Istro Romanian,Endangered ,,Europe,45.3907,14.436
isu,"Isu (Northwest Region, Cameroon)",Vulnerable ,10400,Africa,6.391730, 10.050327
szv,Isubu,Endangered ,800,Africa,3.955366, 9.244283
itl,Itelmen,Severely Endangered ,20,Caucasus;Europe;East Asia,57.0,157.5
ite,Itene,Severely Endangered ,44,South America,-12.0822,-64.9731
itr,Iteri,Endangered ,447,Pacific,-4.0807, 141.5039
itx,Itik,Severely Endangered ,80,Southeast Asia,-2.3181,139.148
ito,Itonama,Critically Endangered ,1,South America,-12.8333333333,-64.3333333333
itm,Itu Mbon Uzo,Threatened ,10000,Africa,5.53, 7.80
itz,Itza',Severely Endangered ,12,"Mexico, Central America, Caribbean",17.03, -89.87
ibd,Iwaidja,Endangered ,150,Australia,-11.4407565,132.5594586
iwo,Iwur,Threatened ,1000,Southeast Asia,-5.11, 140.82
ixc,Ixcatec,Critically Endangered ,9,"Mexico, Central America, Caribbean",17.8333333333,-97.1666666667
"ixi, ixj, ixl",Ixil,Vulnerable ,69137,"Mexico, Central America, Caribbean",15.46, -90.89
otz,Ixtenco Otomí,Endangered ,740,"Mexico, Central America, Caribbean",19.145862, -97.533929
"zaa, zpd, zae",Ixtlán,Vulnerable ,12900,"Mexico, Central America, Caribbean",17.330742, -96.487204
yko,Iyasa,Threatened ,3000,Africa,2.377154, 9.829789
uiv,Iyive,Endangered ,1000,Africa,6.4354,9.5278
ijc,Izon,At risk ,1000000,Africa,,
cbo,Izora,Endangered ,425,Africa,8.843688, 10.361742
dyb,Jabirr-Jabirr,Dormant ,,Australia,-17.55866,122.495732
jbt,Jabutí,Severely Endangered ,,South America,-12.25,-62.25
jda,Jad,Endangered ,,South Asia,30.645,78.3627
jah,Jah Hut,Threatened ,,Southeast Asia,3.6452,102.3065
jhi,Jahai,Threatened ,,Southeast Asia,5.75,101.5
"jac, jai",Jakalteko,Vulnerable ,38350,"Mexico, Central America, Caribbean",15.6685, -91.7111
1kx,Jakarta Sign Language,Threatened ,4800,Southeast Asia,,
jak,Jakun,Vulnerable ,10000,Southeast Asia,1.8871,103.984
bxl,Jalkunan,Endangered ,600,Africa,,
jcs,Jamaican Country Sign Language,Threatened ,2500,"Mexico, Central America, Caribbean",18.00, -76.93
jaa,Jamamadí,Endangered ,980,South America,-7.5,-65.5
djd,Jaminjung,Severely Endangered ,100,Australia,-15.02818965,130.3565783
jan,Janday,Awakening ,,Australia,-27.56865,153.462392
jna,Jangshung,Threatened ,1990,South Asia,31.5833333333,78.4166666667
jni,Janji,Threatened ,1150,Africa,10.054727, 8.799942
jru,Japréria,Severely Endangered ,95,South America,10.55, -72.71
jqr,Jaqaru,Endangered ,725,South America,-13.0,-76.0
anq,Jarawa,Vulnerable ,340,South Asia,11.61, 92.66
1xw,Jarqu'i,Threatened ,14000,Near East,,
ddj,Jaru,Severely Endangered ,250,Australia,-19.14885981,127.88086
qvw,Jauja-Huanca Quechua,At risk ,250000,South America,-12.136,-75.2453
jns,Jaunsari,Vulnerable ,96995,South Asia,30.4859, 78.0908
jvd,Javindo,Critically Endangered ,,Southeast Asia,,
djw,Jawi,Critically Endangered ,3,Australia,-16.4151748,123.191145
djn,Jawoyn,Critically Endangered ,100,Australia,-14.17990999,132.5558136
jyy,Jaya,Threatened ,2200,Africa,12.187,18.1645
pzn,Jejara,Vulnerable ,1460,Southeast Asia,26.21, 95.16
jje,Jejueo,Endangered ,5000,East Asia,33.366667,126.533333
tow,Jemez,Threatened ,,North America,35.6151,-106.7242
jek,Jeri Kuo,Severely Endangered ,,Africa,9.2647,-5.8666
nrf,Jèrriais,Threatened ,2874,Europe,49.2211, -2.1368
jee,Jerung,Endangered ,271,South Asia,27.2241,86.3909
